f1v1n4e20,Y
1545.1691,1556.23999
1545.0609,1554.7624815
1542.3447,1553.284973
1539.627,1551.8074645000002
1536.9072,1550.329956
1539.4012,1554.910034
1534.2928,1546.560059
1531.1729,1565.599976
1549.7118,1570.0499676666666
1552.3636,1574.4999593333334
1555.0155,1578.949951
1557.6675,1586.390015
1559.3701,1596.050049
1570.5409,1603.709961
1581.0114,1606.790039
1583.437,1604.6400146666667
1583.4921,1602.4899903333333
1583.547,1600.339966
1583.6012,1600.339966
1575.9689,1616.369995
1583.8865,1625.290039
1584.1328,1626.630005
1582.3046,1630.233317
1585.8956,1633.8366290000001
1589.4836,1637.439941
1593.0682,1625.23999
1586.1235,1627.609985
1590.6034,1628.219971
1588.9674,1626.930054
