f1v2n2e20_loss,f1v2n2e20val_loss
0.4332373932658882,0.5788164459492849
0.17753208813278235,0.2182324447709581
0.028349848093674374,0.026132923834349796
0.0030739812701366157,0.012574571119014012
0.002656002188065343,0.012481446828409706
0.0025319353886867546,0.00990248172108651
0.002397933492035641,0.007776611912286962
0.002241716345580805,0.009690124050552107
0.002097587909081958,0.00928160352581788
0.0019244427043328,0.007656118878082413
0.0017747430649643157,0.006883443897569795
0.0016175633116303385,0.006709091005968335
0.0014581409579612838,0.00595963557640536
0.0013176324273153905,0.006509603102408026
0.0011649108481459967,0.004684519638312454
0.001007246314188777,0.004218573382746874
0.0008775527471133255,0.0041119851514889415
0.0007519404570482003,0.0036959206668341167
0.0006583197480434251,0.0037408476662518374
0.0005700833720799798,0.003495089210564797
