f1v2n2e20,Y
2464.141,2662.623291
2463.1064,2655.33667
2460.8174,2648.050049
2458.522,2654.800049
2460.3225,2635.669922
2463.6472,2629.72998
2461.0151,2663.419922
2465.4211,2666.489909
2476.7385,2669.5598959999998
2479.4126,2672.6298829999996
2482.0771,2671.919922
2484.0828,2697.790039
2488.5579,2723.070068
2497.5933,2727.719971
2502.564,2728.523275
2502.6475,2729.3265789999996
2502.6536,2730.1298829999996
2502.6592,2711.449951
2500.191,2722.459961
2498.6704,2720.1298829999996
2503.0642,2712.969971
2501.3997,2719.649984
2500.1672,2726.329997
2501.9526,2733.01001
2503.7285,2724.439941
2504.1917,2733.290039
2504.1697,2727.76001
2507.6812,2721.330078
