f1v2n4e20,Y
2769.5916,2662.623291
2766.7556,2655.33667
2760.2798,2648.050049
2753.805,2654.800049
2754.5503,2635.669922
2749.5955,2629.72998
2738.2017,2663.419922
2757.3223,2666.489909
2776.342,2669.5598959999998
2780.762,2672.6298829999996
2785.1516,2671.919922
2788.3164,2697.790039
2801.4866,2723.070068
2824.448,2727.719971
2837.4893,2728.523275
2839.9363,2729.3265789999996
2840.402,2730.1298829999996
2840.866,2711.449951
2832.5713,2722.459961
2832.8486,2720.1298829999996
2838.2285,2712.969971
2834.552,2719.649984
2835.9827,2726.329997
2843.06,2733.01001
2850.1355,2724.439941
2846.6196,2733.290039
2846.5532,2727.76001
2848.445,2721.330078
