f7v2n2e20,Y
23852.666,24262.509766
23825.156,24294.113281666665
23762.834,24325.716797333334
23700.436,24357.320313
23695.287,24360.210938
23610.74,24542.539063
23497.334,24739.529297
23692.969,24831.169922
23860.875,24853.916666666668
23893.338,24876.663411333335
23925.82,24899.410156
23937.566,24706.410156
24054.121,24768.929688
24279.143,24713.980469
24412.852,24715.089844
24449.373,24814.489583666666
24467.295,24913.889323333333
24485.176,25013.289063
24388.738,24834.410156
24352.252,24886.810547
24354.576,24811.759766
24297.12,24753.089844
