f1v2n2e20,Y
1728.9541,1554.7624815
1726.3431,1553.284973
1722.5978,1551.8074645000002
1718.8518,1550.329956
1719.5388,1554.910034
1715.4777,1546.560059
1710.6647,1565.599976
1726.6128,1570.0499676666666
1739.451,1574.4999593333334
1742.9357,1578.949951
1746.4215,1586.390015
1748.3804,1596.050049
1757.7123,1603.709961
1772.4282,1606.790039
1780.386,1604.6400146666667
1782.4208,1602.4899903333333
1783.5481,1600.339966
1784.674,1600.339966
1777.0502,1616.369995
1776.4958,1625.290039
1777.6835,1626.630005
1774.4908,1630.233317
1776.886,1633.8366290000001
1782.5062,1637.439941
1788.123,1625.23999
1784.4127,1627.609985
1784.7855,1628.219971
1785.8337,1626.930054
