f2v7n2e20,Y
2596.637,2663.419922
2594.5046,2666.489909
2595.2893,2669.5598959999998
2598.186,2672.6298829999996
2600.8264,2671.919922
2603.341,2697.790039
2604.29,2723.070068
2606.9607,2727.719971
2613.3215,2728.523275
2621.3762,2729.3265789999996
2627.6733,2730.1298829999996
2633.265,2711.449951
2638.418,2722.459961
2638.2612,2720.1298829999996
2634.0808,2712.969971
2628.8938,2719.649984
2626.4749,2726.329997
2625.2593,2733.01001
2626.065,2724.439941
2628.3909,2733.290039
2626.7202,2727.76001
2625.9114,2721.330078
