f7v1n2e20,Y
2285.3499,2629.72998
2284.6946,2663.419922
2283.1987,2666.489909
2281.7014,2669.5598959999998
2280.2026,2672.6298829999996
2279.1018,2671.919922
2277.807,2697.790039
2274.427,2723.070068
2287.4602,2727.719971
2289.7007,2728.523275
2291.9392,2729.3265789999996
2294.1758,2730.1298829999996
2297.0103,2711.449951
2304.0696,2722.459961
2310.4946,2720.1298829999996
2312.9587,2712.969971
2312.4744,2719.649984
2311.9902,2726.329997
2311.506,2733.01001
2308.2778,2724.439941
2315.5574,2733.290039
2318.0752,2727.76001
2318.254,2721.330078
