f1v2n4e20,Y
1633.7279,1554.7624815
1631.5052,1553.284973
1627.8921,1551.8074645000002
1624.2767,1550.329956
1623.8165,1554.910034
1617.9038,1546.560059
1612.3239,1565.599976
1626.2167,1570.0499676666666
1635.2561,1574.4999593333334
1637.8174,1578.949951
1640.3788,1586.390015
1642.0048,1596.050049
1651.4508,1603.709961
1665.0984,1606.790039
1672.3073,1604.6400146666667
1674.1272,1602.4899903333333
1674.6097,1600.339966
1675.0901,1600.339966
1668.4174,1616.369995
1670.1775,1625.290039
1671.9778,1626.630005
1670.2328,1630.233317
1672.9375,1633.8366290000001
1678.0079,1637.439941
1683.072,1625.23999
1678.9236,1627.609985
1679.0684,1628.219971
1678.4149,1626.930054
