f1v1n4e20,Y
2662.9963,2669.909912
2662.2007,2662.623291
2657.6794,2655.33667
2653.1592,2648.050049
2648.64,2654.800049
2649.2866,2635.669922
2643.2903,2629.72998
2635.2834,2663.419922
2669.07,2666.489909
2674.4553,2669.5598959999998
2679.8394,2672.6298829999996
2685.2217,2671.919922
2690.8384,2697.790039
2710.6892,2723.070068
2729.0208,2727.719971
2734.603,2728.523275
2733.7803,2729.3265789999996
2732.9565,2730.1298829999996
2732.1318,2711.449951
2721.441,2722.459961
2739.005,2720.1298829999996
2743.453,2712.969971
2741.9812,2719.649984
2749.0183,2726.329997
2756.0522,2733.01001
2763.0813,2724.439941
2747.185,2733.290039
2753.6667,2727.76001
2750.9805,2721.330078
