f1v1n2e20,Y
5585.649,7119.799805
5586.872,7101.956543333333
5580.461,7084.113281666667
5574.026,7066.27002
5567.5693,7130.700195
5583.7593,7100.899901999999
5570.8423,7088.149901999999
5565.6357,7209.620117
5604.1406,7228.150065
5609.333,7246.680013
5614.5225,7265.209961
5619.709,7266.899901999999
5620.1826,7339.910156
5644.9478,7404.970215
5667.4844,7402.879883
5668.784,7405.693196666666
5669.488,7408.506510333333
5670.189,7411.319823999999
5670.8857,7351.629883
5652.268,7398.299805
5666.6753,7382.470215
5663.142,7354.339844
5654.8857,7367.573242333334
5660.138,7380.806640666667
5665.38,7394.040039
5670.6104,7378.459961
5663.75,7425.959961
5676.7563,7424.430176000001
5674.615,7433.850098000001
