f1v1n2e20,Y
19595.527,24311.189453
19596.19,24261.843098999998
19578.205,24212.496745
19560.213,24163.150391
19542.21,24099.050781
19546.088,23924.980469
19511.936,23930.150391
19486.91,24262.509766
19601.65,24294.113281666665
19617.441,24325.716797333334
19633.215,24357.320313
19648.973,24360.210938
19662.123,24542.539063
19734.668,24739.529297
19803.355,24831.169922
19822.955,24853.916666666668
19821.926,24876.663411333335
19820.893,24899.410156
19819.848,24706.410156
19775.951,24768.929688
19827.93,24713.980469
19836.379,24715.089844
19827.514,24814.489583666666
19851.96,24913.889323333333
19876.39,25013.289063
19900.81,24834.410156
19851.791,24886.810547
19874.379,24811.759766
19861.443,24753.089844
