f2v2n2e20,Y
22052.053,24212.496745
22034.594,24163.150391
21997.113,24099.050781
21959.555,23924.980469
21935.299,23930.150391
21875.719,24262.509766
21810.21,24294.113281666665
21937.945,24325.716797333334
22031.453,24357.320313
22054.027,24360.210938
22076.602,24542.539063
22092.873,24739.529297
22177.436,24831.169922
22316.59,24853.916666666668
22402.244,24876.663411333335
22422.773,24899.410156
22427.906,24706.410156
22433.021,24768.929688
22372.45,24713.980469
22379.719,24715.089844
22399.938,24814.489583666666
22388.646,24913.889323333333
22414.604,25013.289063
22468.975,24834.410156
22523.281,24886.810547
22477.367,24811.759766
22470.363,24753.089844
