f1v2n2e20,Y
21232.035,24261.843098999998
21219.615,24212.496745
21187.592,24163.150391
21155.488,24099.050781
21169.572,23924.980469
21160.53,23930.150391
21118.385,24262.509766
21205.463,24294.113281666665
21275.584,24325.716797333334
21291.697,24357.320313
21307.781,24360.210938
21311.158,24542.539063
21373.568,24739.529297
21484.76,24831.169922
21536.123,24853.916666666668
21536.928,24876.663411333335
21542.303,24899.410156
21547.678,24706.410156
21496.094,24768.929688
21488.74,24713.980469
21495.318,24715.089844
21463.557,24814.489583666666
21458.893,24913.889323333333
21481.2,25013.289063
21503.465,24834.410156
21488.367,24886.810547
21518.572,24811.759766
21531.01,24753.089844
