Date,^IXIC,^RUT,^DJI,^GSPC
2012-01-01,0.0,0.0,0.0,0.0
2012-01-02,0.0,0.0,0.0,0.0
2012-01-03,2648.719971,752.280029,12397.379883,1277.060059
2012-01-04,2648.360107,747.280029,12418.419922,1277.300049
2012-01-05,2669.860107,752.289978,12415.700195,1281.060059
2012-01-06,2674.219971,749.710022,12359.919922,1277.810059
2012-01-07,2675.0000003333334,750.9766846666666,12370.843424666666,1278.7733563333334
2012-01-08,2675.7800296666665,752.2433473333333,12381.766927333334,1279.7366536666666
2012-01-09,2676.560059,753.51001,12392.69043,1280.699951
2012-01-10,2702.5,764.75,12462.469727,1292.079956
2012-01-11,2710.76001,767.23999,12449.450195,1292.47998
2012-01-12,2724.699951,770.48999,12471.019531,1295.5
2012-01-13,2710.669922,764.200012,12422.05957,1289.089966
2012-01-14,2715.022461,764.5325162500001,12437.06225575,1290.2349855
2012-01-15,2719.375,764.8650205,12452.0649415,1291.380005
2012-01-16,2723.727539,765.19752475,12467.06762725,1292.5250245
2012-01-17,2728.080078,765.530029,12482.070313,1293.670044
2012-01-18,2769.709961,779.26001,12578.950195,1308.040039
2012-01-19,2788.330078,782.369995,12623.980469,1314.5
2012-01-20,2786.699951,784.619995,12720.480469,1315.380005
2012-01-21,2785.856608,784.0966593333334,12716.593750333333,1315.58667
2012-01-22,2785.013265,783.5733236666666,12712.707031666667,1315.793335
2012-01-23,2784.169922,783.049988,12708.820313,1316.0
2012-01-24,2786.639893,788.27002,12675.75,1314.650024
2012-01-25,2818.310059,795.580017,12758.849609,1326.060059
2012-01-26,2805.280029,792.909973,12734.629883,1318.430054
2012-01-27,2816.550049,798.849976,12660.459961,1316.329956
2012-01-28,2815.013346333333,796.693319,12658.213216333334,1315.2233073333334
2012-01-29,2813.476643666667,794.536662,12655.966471666667,1314.1166586666666
2012-01-30,2811.939941,792.380005,12653.719727,1313.01001
2012-01-31,2813.840088,792.820007,12632.910156,1312.410034
2012-02-01,2848.27002,809.659973,12716.459961,1324.089966
2012-02-02,2859.679932,812.8900150000001,12705.410156,1325.540039
2012-02-03,2905.659912,831.1099849999999,12862.230469,1344.900024
2012-02-04,2904.436604666667,830.196655,12856.530273666667,1344.7100013333334
2012-02-05,2903.2132973333332,829.283325,12850.830078333332,1344.5199786666667
2012-02-06,2901.98999,828.369995,12845.129883,1344.329956
2012-02-07,2904.080078,827.369995,12878.200195,1347.050049
2012-02-08,2915.860107,828.3900150000001,12883.950195,1349.959961
2012-02-09,2927.22998,824.98999,12890.459961,1351.949951
2012-02-10,2903.8798829999996,813.330017,12801.230469,1342.640015
2012-02-11,2913.0498863333332,817.1566773333334,12825.500325666666,1345.68335
2012-02-12,2922.2198896666664,820.9833376666667,12849.770182333334,1348.7266849999999
2012-02-13,2931.389893,824.8099980000001,12874.040039,1351.77002
2012-02-14,2931.830078,820.650024,12878.280273,1350.5
2012-02-15,2915.830078,813.97998,12780.950195,1343.22998
2012-02-16,2959.850098,829.960022,12904.080078,1358.040039
2012-02-17,2951.780029,828.679993,12949.870117,1361.22998
2012-02-18,2950.97753875,827.30999775,12953.82519525,1361.4749752500002
2012-02-19,2950.1750485000002,825.9400025,12957.7802735,1361.7199705
2012-02-20,2949.37255825,824.57000725,12961.735351750001,1361.96496575
2012-02-21,2948.570068,823.200012,12965.69043,1362.209961
2012-02-22,2933.169922,816.5,12938.669922,1357.660034
2012-02-23,2956.97998,829.22998,12984.69043,1363.459961
2012-02-24,2963.75,826.919983,12982.950195,1365.73999
2012-02-25,2964.553304,826.833313,12982.470051999999,1366.3566486666666
2012-02-26,2965.356608,826.7466430000001,12981.989909,1366.9733073333334
2012-02-27,2966.159912,826.659973,12981.509766,1367.589966
2012-02-28,2986.76001,823.799988,13005.120117,1372.180054
2012-02-29,2966.889893,810.9400019999999,12952.070313,1365.680054
2012-03-01,2988.969971,815.219971,12980.299805,1374.089966
2012-03-02,2976.189941,802.419983,12977.570313,1369.630005
2012-03-03,2967.6199540000002,802.8299966666667,12972.650065333333,1367.863322
2012-03-04,2959.049967,803.2400103333333,12967.729817666666,1366.096639
2012-03-05,2950.47998,803.650024,12962.80957,1364.329956
2012-03-06,2910.320068,787.090027,12759.150391,1343.359985
2012-03-07,2935.689941,795.950012,12837.330078,1352.630005
2012-03-08,2970.419922,806.340027,12907.94043,1365.910034
2012-03-09,2988.340088,817.0,12922.019531,1370.869995
2012-03-10,2986.7800293333335,816.0966593333334,12934.583007666666,1370.9433186666668
2012-03-11,2985.2199706666665,815.1933186666666,12947.146484333334,1371.0166423333333
2012-03-12,2983.659912,814.289978,12959.709961,1371.089966
2012-03-13,3039.8798829999996,831.22998,13177.679688,1395.949951
2012-03-14,3040.72998,823.400024,13194.099609,1394.280029
2012-03-15,3056.3701170000004,831.460022,13252.759766,1402.599976
2012-03-16,3055.26001,830.179993,13232.620117,1404.170044
2012-03-17,3062.946696,832.710002,13234.790039,1406.0300293333332
2012-03-18,3070.633382,835.240011,13236.959961,1407.8900146666667
2012-03-19,3078.320068,837.77002,13239.129883,1409.75
2012-03-20,3074.149902,829.23999,13170.19043,1405.52002
2012-03-21,3075.320068,829.919983,13124.620117,1402.890015
2012-03-22,3063.320068,821.4400019999999,13046.139648,1392.780029
2012-03-23,3067.919922,830.030029,13080.730469,1397.109985
2012-03-24,3086.1366373333335,835.3966876666667,13134.363607,1403.57666
2012-03-25,3104.3533526666665,840.7633463333334,13187.996745,1410.043335
2012-03-26,3122.570068,846.1300050000001,13241.629883,1416.51001
