f7v1n2e20,Y
22373.604,23930.150391
22375.596,24262.509766
22344.535,24294.113281666665
22313.387,24325.716797333334
22282.158,24357.320313
22345.72,24360.210938
22267.92,24542.539063
22258.24,24739.529297
22454.05,24831.169922
22478.14,24853.916666666668
22502.223,24876.663411333335
22526.291,24899.410156
22522.998,24706.410156
22598.291,24768.929688
22669.27,24713.980469
22675.791,24715.089844
22684.176,24814.489583666666
22692.535,24913.889323333333
22700.875,25013.289063
22626.076,24834.410156
22647.742,24886.810547
22614.492,24811.759766
22588.08,24753.089844
