f2v2n4e20,Y
22373.225,24212.496745
22357.887,24163.150391
22320.143,24099.050781
22282.352,23924.980469
22276.545,23930.150391
22264.408,24262.509766
22192.615,24294.113281666665
22304.043,24325.716797333334
22432.617,24357.320313
22460.35,24360.210938
22488.05,24542.539063
22508.51,24739.529297
22577.258,24831.169922
22717.201,24853.916666666668
22803.602,24876.663411333335
22817.42,24899.410156
22824.234,24706.410156
22831.05,24768.929688
22785.38,24713.980469
22766.973,24715.089844
22794.527,24814.489583666666
22762.715,24913.889323333333
22767.26,25013.289063
22812.215,24834.410156
22857.057,24886.810547
22835.139,24811.759766
22834.002,24753.089844
