f1v7n2e20_loss,f1v7n2e20val_loss
0.004482777923654276,0.033914758424673765
0.002877503249246046,0.019124052886451994
0.0015546423253887096,0.010185946183340563
0.0009021149748169295,0.007286840379442815
0.0005056452117300448,0.0036321478904798054
0.0003428308407649492,0.0020176655169772137
0.0002815392771871054,0.001935042210379334
0.0002534984559305791,0.0009163555590490872
0.00024059377398491104,0.0008418773068514893
0.00022573165501452698,0.0008804035860121475
0.00022365767454452616,0.001166451550119206
0.00021948993994793593,0.0009892046591730732
0.00022033072451534808,0.0008655917613845763
0.00021708343404679118,0.0010503625683838265
0.00019253978639817264,0.0006516886561447601
0.00018873295006745537,0.0014661472020664375
0.00019550552002636697,0.0013063542984117712
0.0002161686916071029,0.00044066231608807214
0.0001797430066861984,0.000421711585858957
0.00020546126537024476,0.0004388249025406357
