f7v2n4e20,Y
23350.682,24262.509766
23324.197,24294.113281666665
23286.795,24325.716797333334
23249.379,24357.320313
23244.684,24360.210938
23219.814,24542.539063
23166.95,24739.529297
23316.78,24831.169922
23466.488,24853.916666666668
23513.727,24876.663411333335
23560.943,24899.410156
23605.303,24706.410156
23720.945,24768.929688
23878.725,24713.980469
23967.025,24715.089844
23983.545,24814.489583666666
23980.209,24913.889323333333
23976.867,25013.289063
23914.379,24834.410156
23955.95,24886.810547
24027.658,24811.759766
24029.572,24753.089844
