f1v2n4e20,Y
21922.525,24261.843098999998
21914.562,24212.496745
21892.615,24163.150391
21870.604,24099.050781
21867.295,23924.980469
21879.877,23930.150391
21836.143,24262.509766
21887.504,24294.113281666665
21990.482,24325.716797333334
22013.805,24357.320313
22037.09,24360.210938
22059.744,24542.539063
22100.15,24739.529297
22186.314,24831.169922
22237.582,24853.916666666668
22243.768,24876.663411333335
22243.232,24899.410156
22242.691,24706.410156
22225.838,24768.929688
22223.13,24713.980469
22260.807,24715.089844
22251.799,24814.489583666666
22251.621,24913.889323333333
22276.07,25013.289063
22300.418,24834.410156
22290.664,24886.810547
22280.857,24811.759766
22300.719,24753.089844
