f7v2n4e20,Y
2706.6245,2663.419922
2704.6172,2666.489909
2699.9502,2669.5598959999998
2695.2705,2672.6298829999996
2694.3467,2671.919922
2689.321,2697.790039
2681.1692,2723.070068
2693.1821,2727.719971
2708.9753,2728.523275
2712.1753,2729.3265789999996
2715.3728,2730.1298829999996
2717.474,2711.449951
2726.5935,2722.459961
2743.905,2720.1298829999996
2754.7603,2712.969971
2757.6006,2719.649984
2758.2751,2726.329997
2758.9482,2733.01001
2752.7805,2724.439941
2750.5674,2733.290039
2754.379,2727.76001
2752.058,2721.330078
