f2v1n4e20_loss,f2v1n4e20val_loss
0.1686481402069734,0.186394156140645
0.02278816427634882,0.025849410712541186
0.0009433168982104985,0.014064679698566068
0.000703575353212897,0.011927416864802774
0.0006605500121189215,0.012285197223385154
0.0006238515022232358,0.010647973746723959
0.0005880631623962168,0.009989301288205476
0.0005623112876534997,0.01056078581418236
0.0004879794700177518,0.008242835169011593
0.0004651920768253727,0.008567302772894485
0.0004165945684044464,0.00804396536768921
0.00039258012521038466,0.0060391385299396055
0.00034220653270993596,0.006383806117557781
0.0003220479262612632,0.005888586630034634
0.00028344745255607295,0.006696434009218197
0.00027443763258065354,0.005114613933218016
0.00024619274549833055,0.004550232655275815
0.00022497281538658853,0.005216932862869781
0.00021975087010528874,0.0035437539430969514
0.0002120892170568932,0.003679044352523142
