f1v7n2e20_loss,f1v7n2e20val_loss
0.38587266034867224,0.5902196368673346
0.12990752724125998,0.3159071789993035
0.03247589205484345,0.14343024389101908
0.012729258732536271,0.10721920582128096
0.011587430961593528,0.09779022634029388
0.010947471594291875,0.09227244695136835
0.01044115884931936,0.09260554877775055
0.009928112652769206,0.08154008087221083
0.00931389070258698,0.08112030867282506
0.00893908416279122,0.08039681793569209
0.008312782999255591,0.08276549456538734
0.008075743187966769,0.0731727596536115
0.0074233602962521135,0.06770245315363774
0.006947386046613147,0.06280095238688883
0.0066850519321353255,0.0553415189241315
0.005729971134261396,0.04512808471918106
0.004921443562238026,0.05847205399730048
0.0036675372559237807,0.025889231628932797
0.0020679511412501133,0.01854468056686468
0.001093271321683366,0.012052694483977425
